env_feature,n,sd,mean,se
abyssalpelagic zone,21,0.000329357238384388,0.000238095238095238,1.56836780183042e-05
agricultural soil,1244,0.00459220873675936,0.000336334405144695,3.69148612279691e-06
alkaline habitat,29,0.00831094891821519,0.00214827586206897,0.000286584445455696
alluvial paddy agricultural soil,309,0.000198340316586269,3.43042071197411e-05,6.41878047204754e-07
animal-associated habitat,4461,0.0933860787507484,0.0250577897332437,2.09338889824587e-05
antarctic soil,8,0.00014142135623731,5e-05,1.76776695296637e-05
anthropogenic environmental material,669,0.118016804024853,0.10860553064275,0.000176407778811439
basin,4,0,0,0
bathypelagic zone,5,0.00176720117700278,0.00084,0.000353440235400555
bay,24,0.0164044002580432,0.0111,0.000683516677418466
biofilter,891,0.00350125511415091,0.000747250280583614,3.92957925269462e-06
bog,24,2.8232985128664e-05,8.33333333333333e-06,1.176374380361e-06
city,81,0.0778089996659278,0.079720987654321,0.000960604934147256
clay soil,2,7.07106781186548e-05,5e-05,3.53553390593274e-05
coastal water body,23,9.34621734479391e-05,6.52173913043478e-05,4.06357275860605e-06
cold temperature habitat,195,0.00180148160599492,0.000491282051282051,9.23836721023036e-06
contaminated sediment,57,0.00102704347314968,0.000401754385964912,1.80183065464855e-05
contaminated water,93,0.000761095271405106,0.000117204301075269,8.18382012263555e-06
continental shelf,60,0.0195603322791321,0.00485333333333333,0.000326005537985535
coral reef,56,0.109074831679192,0.0306767857142857,0.00194776485141415
cove,4,5e-05,2.5e-05,1.25e-05
creek,21,0.000226568606239552,0.000133333333333333,1.07889812495025e-05
dam,94,0.000897504101631666,0.000217021276595745,9.54791597480496e-06
dry lake,164,0.00025560600666831,7.92682926829268e-05,1.55857321139213e-06
dry soil,18,0.0164310681332651,0.00396666666666667,0.000912837118514728
estuary,4,5.77350269189626e-05,5e-05,1.44337567297406e-05
extreme high temperature habitat,3,1e-04,1e-04,3.33333333333333e-05
fjord,258,0.000596644641238855,0.00013062015503876,2.31257612883277e-06
fluvisol,12,0.0242383430276756,0.00765,0.00201986191897297
forest,33,4.64660188642293e-05,1.81818181818182e-05,1.40806117770392e-06
forest soil,300,0.00185958051394619,0.000209333333333333,6.19860171315397e-06
fresh water,44,0.000213436098838801,0.000115909090909091,4.85082042815457e-06
freshwater habitat,2256,0.00289061021649271,0.000600265957446808,1.28129885482833e-06
freshwater lake,2395,0.0031666733050555,0.000528308977035491,1.32220179751795e-06
garden soil,144,9.85693111009156e-05,3.54166666666667e-05,6.8450910486747e-07
grassland soil,198,0.000195902234505593,8.58585858585859e-05,9.89405224775724e-07
haline habitat,13,8.69718492622904e-05,3.84615384615385e-05,6.69014225094542e-06
high temperature habitat,2,0,0,0
hot spring,323,0.000167710007273337,4.02476780185759e-05,5.19226028710021e-07
human-associated habitat,3014,0.151192857221926,0.123837259455873,5.01635226350119e-05
hydrothermal vent,49,0.00284088828687497,0.00076530612244898,5.79773119770402e-05
insecta-associated habitat,399,0.225201271533027,0.160635588972431,0.000564414214368488
intertidal zone,37,1.64398987305357e-05,2.7027027027027e-06,4.44321587311777e-07
kelp forest,1608,0.0010192816362709,0.000189676616915423,6.33881614596329e-07
lagoon,4,9.57427107756338e-05,0.000125,2.39356776939085e-05
lake,18,0.0087133808900993,0.00767777777777778,0.000484076716116628
luvisol,20,6.95852373938459e-05,2e-05,3.4792618696923e-06
marine feature,25,0.00215010077283213,0.000528,8.60040309132853e-05
marine habitat,30,0.000116263671795236,6e-05,3.87545572650786e-06
marine sediment,103,7.75603644108649e-05,1.2621359223301e-05,7.53013246707427e-07
mesopelagic zone,8,0.000124642345475822,0.0001125,1.55802931844778e-05
microbial mat,3,0,0,0
mountain,22,0,0,0
national park,21,6.24880941040924e-05,2.38095238095238e-05,2.9756235287663e-06
neritic zone,245,5.72539902931062e-05,1.91836734693878e-05,2.33689756298393e-07
nest of bird,968,0.111576631468073,0.0542613636363636,0.000115265115152968
ocean,72,0.00014224199662021,4.30555555555556e-05,1.97558328639181e-06
ocean floor,3,0.000152752523165195,0.000166666666666667,5.09175077217316e-05
oil contaminated soil,28,0.00114925211476004,0.000467857142857143,4.10447183842871e-05
Oil palm plantation,6,0.000577638872191499,0.000416666666666667,9.62731453652498e-05
organism-associated habitat,9,0,0,0
pasture soil,23,6.6534783913046e-05,4.78260869565217e-05,2.89281669187157e-06
peatland,1,NA,0,NA
permafrost,42,4.54682694939907e-05,1.9047619047619e-05,1.08257784509502e-06
photic zone,15,0.0111654953188063,0.00294,0.000744366354587088
plant-associated habitat,17,3.32105582077536e-05,1.17647058823529e-05,1.95356224751492e-06
podzol,4,0,0,0
pond,344,0.000306124347407497,5.69767441860465e-05,8.89896358742725e-07
rice agricultural soil,314,0.00340141790730614,0.000493949044585987,1.08325411060705e-05
river,17,0.000363095352895238,0.000505882352941176,2.13585501703081e-05
rocky desert,1,NA,0.001,NA
sea beach,5,5.47722557505166e-05,4e-05,1.09544511501033e-05
sea vent,7,0.000562308168347639,0.000457142857142857,8.03297383353769e-05
shrubland,7,5.34522483824849e-05,5.71428571428571e-05,7.63603548321213e-06
sinkhole,15,0.00109926382292012,0.000846666666666667,7.32842548613412e-05
steppe soil,204,0.0372802939993772,0.015378431372549,0.000182746539212633
strait,141,0.000317854382238163,8.65248226950355e-05,2.25428639885222e-06
stream,96,0.00242956005511358,0.00156979166666667,2.53079172407665e-05
stromatolite mat,16,0.00095,0.0002375,5.9375e-05
taiga,4,0,0,0
tropical soil,26,0,0,0
